year,party,intervention,type,count
1932,Progressive Conservative,16,wind power,0
1963,New Democratic Party,4496,wind power,0
1961,Liberal Labour,1470,wind power,0
1991,Independent Conservative,91,wind power,0
1955,Progressive Conservative,9927,wind power,0
1942,Co-operative Commonwealth Federation (C.C.F.),2544,wind power,0
1999,Bloc Québécois,3332,wind power,0
1942,Conservative (1867-1942),883,wind power,0
1902,Conservative (1867-1942),7519,wind power,0
1979,Progressive Conservative,8493,wind power,0
1960,Liberal,17853,wind power,0
1952,Liberal,13569,wind power,0
1950,Progressive Conservative,9279,wind power,0
2001,Bloc Québécois,3397,wind power,0
1939,Independent Conservative,20,wind power,0
1911,Liberal,11072,wind power,0
1924,Independent Conservative,242,wind power,0
1977,New Democratic Party,5535,wind power,0
1953,Co-operative Commonwealth Federation (C.C.F.),3388,wind power,0
1992,Independent Conservative,106,wind power,0
1954,Co-operative Commonwealth Federation (C.C.F.),5265,wind power,0
1960,Progressive Conservative,27096,wind power,0
1979,Liberal,10434,wind power,0
1940,United Farmers of Ontario-Labour,5,wind power,0
1950,Liberal,13372,wind power,0
1908,Liberal,16701,wind power,0
1952,Progressive Conservative,8714,wind power,0
1968,Co-operative Commonwealth Federation (C.C.F.),97,wind power,0
1965,Co-operative Commonwealth Federation (C.C.F.),221,wind power,0
2000,Reform,4041,wind power,0
1977,Independent,139,wind power,0
1964,Independent Liberal,19,wind power,0
1944,New Democracy,67,wind power,0
1924,Independent Progressive,205,wind power,0
1931,Progressive Conservative,15,wind power,0
1903,Independent,315,wind power,0
1996,New Democratic Party,526,wind power,0
1956,Progressive Conservative,13360,wind power,0
1905,Liberal,16036,wind power,0
2011,Green,222,wind power,0
1990,Reform,41,wind power,0
1955,Liberal,14703,wind power,0
1958,Liberal Labour,832,wind power,0
1932,Liberal,11193,wind power,0
1963,Co-operative Commonwealth Federation (C.C.F.),176,wind power,0
2011,Independent,23,wind power,0
1975,Social Credit,1353,wind power,0
1938,Social Credit,1480,wind power,0
1934,Progressive Conservative,29,wind power,0
1974,New Democratic Party,3207,wind power,0
1994,Bloc Québécois,5651,wind power,0
1971,Independent,6105,wind power,0
1915,Independent Conservative,90,wind power,0
1903,Conservative (1867-1942),24055,wind power,0
1933,Progressive Conservative,10,wind power,0
1973,Liberal,19871,wind power,0
1929,United Farmers of Alberta,1763,wind power,0
1928,United Farmers of Alberta,2009,wind power,0
1969,Liberal Labour,50,wind power,0
1901,Independent Labour,84,wind power,0
1974,No affiliation,1663,wind power,0
1925,United Farmers of Alberta,260,wind power,0
1912,Independent Conservative,80,wind power,0
1998,Independent,152,wind power,0
1968,Independent,2036,wind power,0
1965,Independent,15,wind power,0
1918,Laurier Liberal,5344,wind power,0
1942,Unity,31,wind power,0
1933,Liberal,11164,wind power,0
1953,Independent,116,wind power,0
1953,Liberal Progressive,34,wind power,0
1917,Liberal-Conservative,413,wind power,0
1954,Independent,54,wind power,0
2013,Bloc Québécois,281,wind power,0
1954,Liberal Progressive,30,wind power,0
1941,Social Credit,1072,wind power,0
1998,New Democratic Party,2226,wind power,0
1968,New Democratic Party,3885,wind power,0
1965,New Democratic Party,3279,wind power,0
1959,Co-operative Commonwealth Federation (C.C.F.),4200,wind power,0
1993,Independent Conservative,55,wind power,0
1938,United Farmers of Ontario-Labour,59,wind power,0
1918,Liberal,204,wind power,0
1923,Liberal,15683,wind power,0
1909,Liberal,16237,wind power,0
1942,Independent,307,wind power,0
1902,Independent,79,wind power,0
1942,Liberal Progressive,31,wind power,0
1971,New Democratic Party,8053,wind power,0
1980,Liberal,15687,wind power,0
1934,Liberal,12712,wind power,0
1974,Independent,29,wind power,0
1948,Social Credit,1300,wind power,0
1930,Liberal,9108,wind power,0
1938,Independent Liberal,1,wind power,0
1903,Liberal-Conservative,2705,wind power,0
1939,Social Credit,2744,wind power,0
2003,Canadian Alliance,5609,wind power,0
1967,Liberal,21772,wind power,0
1922,United Farmers of Ontario,35,wind power,0
1972,Independent,3230,wind power,0
1995,New Democratic Party,718,wind power,0
1976,Independent,66,wind power,0
1927,United Farmers of Ontario,7,wind power,0
1927,Conservative (1867-1942),6117,wind power,0
1918,Unionist (Liberal),796,wind power,0
1964,Ralliement Créditiste,3895,wind power,0
1949,Progressive Conservative,10122,wind power,0
1926,United Farmers of Alberta,48,wind power,0
1922,Conservative (1867-1942),5507,wind power,0
1940,Independent Conservative,69,wind power,0
1941,New Democracy,12,wind power,0
2012,Conservative,18796,wind power,0
1949,Liberal,14968,wind power,0
1939,United Farmers of Ontario-Labour,83,wind power,0
1924,Progressive,6267,wind power,0
1920,Unionist,11024,wind power,0
1914,Independent Conservative,164,wind power,0
1941,Independent Liberal,17,wind power,0
1967,Progressive Conservative,12767,wind power,0
1917,Conservative (1867-1942),17658,wind power,0
1993,Bloc Québécois,191,wind power,0
1913,Liberal,6571,wind power,0
1948,Independent Liberal,860,wind power,0
1972,New Democratic Party,3730,wind power,0
1995,Independent,26,wind power,0
1943,National Government,7935,wind power,0
1962,Liberal Labour,466,wind power,0
1902,Liberal-Conservative,854,wind power,0
1992,Bloc Québécois,594,wind power,0
1944,Social Credit,1887,wind power,0
1919,Laurier Liberal,12775,wind power,0
1940,Independent Liberal,17,wind power,0
1991,Bloc Québécois,437,wind power,0
1982,New Democratic Party,6076,wind power,0
1938,Independent Conservative,17,wind power,0
1917,Labour,90,wind power,0
1951,Liberal,19636,wind power,0
1957,Liberal,12217,wind power,0
1935,United Farmers of Alberta,1078,wind power,0
1982,Independent,86,wind power,0
1948,Independent Progressive Conservative,11,wind power,0
1904,Liberal,16664,wind power,0
1951,Progressive Conservative,12737,wind power,0
1957,Progressive Conservative,11605,wind power,0
1927,Labour,639,wind power,0
1921,United Farmers of Ontario-Labour,18,wind power,0
1927,Liberal Progressive,600,wind power,0
1927,Independent,292,wind power,0
1921,Progressive,568,wind power,0
1964,Social Credit,1486,wind power,0
1935,Independent Labour,166,wind power,0
1941,Independent Conservative,73,wind power,0
1919,Liberal,625,wind power,0
1922,Labour,285,wind power,0
1945,National Government,1072,wind power,0
1940,New Democracy,22,wind power,0
1922,Independent,25,wind power,0
1981,Liberal,20208,wind power,0
1970,Liberal Labour,27,wind power,0
1972,Liberal Labour,12,wind power,0
1951,Independent Liberal,18,wind power,0
1957,Independent Liberal,29,wind power,0
1910,Conservative (1867-1942),12136,wind power,0
1952,Social Credit,1318,wind power,0
1947,Bloc populaire canadien,117,wind power,0
1946,Independent,116,wind power,0
1946,Liberal Progressive,6,wind power,0
1967,Independent Progressive Conservative,194,wind power,0
1932,Progressive,166,wind power,0
1911,Nationalist,3,wind power,0
1966,New Democratic Party,6768,wind power,0
1945,Independent,96,wind power,0
1945,Liberal Progressive,3,wind power,0
1983,Progressive Conservative,15306,wind power,0
1956,Social Credit,2241,wind power,0
1940,Liberal,8948,wind power,0
1945,Unity,9,wind power,0
1998,Reform,6077,wind power,0
1994,Liberal,12627,wind power,0
1935,Conservative (1867-1942),12317,wind power,0
1987,New Democratic Party,10934,wind power,0
1940,Progressive Conservative,15,wind power,0
1983,Liberal,21690,wind power,0
1943,Unity,44,wind power,0
1914,Liberal,15471,wind power,0
1987,Independent,5,wind power,0
1955,Social Credit,1943,wind power,0
1994,Progressive Conservative,104,wind power,0
1949,Independent Progressive Conservative,5,wind power,0
2013,Liberal,4088,wind power,0
1943,Liberal Progressive,55,wind power,0
1979,Social Credit,494,wind power,0
1943,Independent,282,wind power,0
1950,Social Credit,1016,wind power,0
1931,Progressive,164,wind power,0
1962,Co-operative Commonwealth Federation (C.C.F.),67,wind power,0
1926,Labour,824,wind power,0
1921,Unionist (Liberal),1621,wind power,0
1916,Conservative (1867-1942),9710,wind power,0
1966,Independent,473,wind power,0
1913,Independent Conservative,111,wind power,0
1904,Independent Liberal,1,wind power,0
1926,Liberal Progressive,2,wind power,0
1926,Independent,344,wind power,0
1923,Progressive,4510,wind power,0
1966,Co-operative Commonwealth Federation (C.C.F.),435,wind power,0
1941,Progressive Conservative,100,wind power,0
1970,New Democratic Party,7170,wind power,0
1973,Social Credit,2516,wind power,0
1999,Liberal,10520,wind power,0
1996,Reform,5046,wind power,0
1943,Co-operative Commonwealth Federation (C.C.F.),3416,wind power,0
1930,Progressive,416,wind power,0
1934,Progressive,101,wind power,0
1927,United Farmers of Alberta,1562,wind power,0
1986,New Democratic Party,9596,wind power,0
1933,Progressive,63,wind power,0
1957,Independent Progressive Conservative,122,wind power,0
1938,Liberal,15788,wind power,0
1926,Conservative (1867-1942),14282,wind power,0
1916,Labour,37,wind power,0
1948,Progressive Conservative,11748,wind power,0
1922,United Farmers of Alberta,54,wind power,0
1918,Progressive,14,wind power,0
1967,Independent Liberal,2,wind power,0
1910,Independent,37,wind power,0
1910,Labour,30,wind power,0
1986,Independent,5,wind power,0
1945,Conservative (1867-1942),4,wind power,0
2000,Independent,25,wind power,0
1901,Liberal-Conservative,711,wind power,0
2016,Bloc Québécois,344,wind power,0
1904,Independent Conservative,352,wind power,0
1946,Co-operative Commonwealth Federation (C.C.F.),5318,wind power,0
1999,Progressive Conservative,1776,wind power,0
1970,Independent,4974,wind power,0
1945,Co-operative Commonwealth Federation (C.C.F.),3168,wind power,0
1941,Liberal,11706,wind power,0
1935,Liberal Progressive,124,wind power,0
1935,Independent,394,wind power,0
1949,Independent Liberal,148,wind power,0
1990,Independent,333,wind power,0
1935,Labour,1070,wind power,0
1962,New Democratic Party,4146,wind power,0
1947,Independent C.C.F.,141,wind power,0
1964,Liberal Labour,112,wind power,0
1933,Independent,546,wind power,0
1973,New Democratic Party,7691,wind power,0
1933,Liberal Progressive,140,wind power,0
1937,Independent Conservative,3,wind power,0
1953,Liberal,13664,wind power,0
1931,Conservative (1867-1942),13875,wind power,0
1933,Labour,754,wind power,0
1954,Liberal,13918,wind power,0
2008,Independent,183,wind power,0
1998,Progressive Conservative,1815,wind power,0
1968,Progressive Conservative,8721,wind power,0
1965,Progressive Conservative,7243,wind power,0
1960,Co-operative Commonwealth Federation (C.C.F.),6687,wind power,0
1958,Independent Liberal,57,wind power,0
1952,Co-operative Commonwealth Federation (C.C.F.),3068,wind power,0
1909,Labour,24,wind power,0
1973,No affiliation,6328,wind power,0
1923,Independent,7,wind power,0
1925,Independent Conservative,239,wind power,0
1910,Nationalist,2,wind power,0
1909,Independent,11,wind power,0
1942,Liberal,15285,wind power,0
1923,Labour,824,wind power,0
1902,Liberal,1974,wind power,0
1956,Co-operative Commonwealth Federation (C.C.F.),6774,wind power,0
1971,Progressive Conservative,17889,wind power,0
1934,Labour,722,wind power,0
1930,Labour,673,wind power,0
1934,Independent,558,wind power,0
1911,Conservative (1867-1942),9664,wind power,0
1934,Liberal Progressive,66,wind power,0
1974,Liberal,12348,wind power,0
1930,Independent,231,wind power,0
1930,Liberal Progressive,264,wind power,0
1947,Independent Liberal,534,wind power,0
1942,Progressive Conservative,279,wind power,0
1955,Co-operative Commonwealth Federation (C.C.F.),5118,wind power,0
1949,Independent C.C.F.,29,wind power,0
1936,Independent Conservative,6,wind power,0
1966,Ralliement Créditiste,2345,wind power,0
1908,Conservative (1867-1942),15745,wind power,0
1988,Independent Liberal,20,wind power,0
1961,New Party,157,wind power,0
1974,Progressive Conservative,9750,wind power,0
1935,Progressive,119,wind power,0
1971,Liberal,22726,wind power,0
1980,New Democratic Party,4122,wind power,0
1954,Progressive Conservative,8571,wind power,0
1905,Conservative (1867-1942),14349,wind power,0
1973,Independent,139,wind power,0
1901,Independent Conservative,523,wind power,0
1953,Progressive Conservative,9510,wind power,0
1904,Liberal-Conservative,2213,wind power,0
1950,Co-operative Commonwealth Federation (C.C.F.),3436,wind power,0
1932,Conservative (1867-1942),13435,wind power,0
1925,Independent Progressive,380,wind power,0
1962,Social Credit,1261,wind power,0
1998,Liberal,10802,wind power,0
1968,Liberal,12278,wind power,0
1965,Liberal,11900,wind power,0
1979,Independent,53,wind power,0
1943,Social Credit,1873,wind power,0
1950,Liberal Progressive,32,wind power,0
1950,Independent,129,wind power,0
1908,Independent,28,wind power,0
1959,Progressive Conservative,18143,wind power,0
1908,Labour,3,wind power,0
1990,Bloc Québécois,21,wind power,0
1966,Social Credit,1086,wind power,0
1944,National Government,11551,wind power,0
1977,Liberal,22893,wind power,0
1924,United Farmers of Alberta,106,wind power,0
1996,Progressive Conservative,99,wind power,0
1903,Liberal,8821,wind power,0
1905,Independent,33,wind power,0
1963,Liberal,16424,wind power,0
2000,Bloc Québécois,3523,wind power,0
1958,Independent Progressive Conservative,86,wind power,0
1955,Independent,100,wind power,0
2016,Independent,12,wind power,0
1955,Liberal Progressive,92,wind power,0
1932,Labour,705,wind power,0
1985,New Democratic Party,9650,wind power,0
1949,Bloc populaire canadien,30,wind power,0
1932,Independent,421,wind power,0
1932,Liberal Progressive,302,wind power,0
1956,Liberal Progressive,101,wind power,0
1931,Independent,674,wind power,0
1996,Liberal,9950,wind power,0
1956,Independent,99,wind power,0
1931,Liberal Progressive,361,wind power,0
1913,Liberal-Conservative,217,wind power,0
1933,Conservative (1867-1942),12726,wind power,0
1931,Labour,613,wind power,0
1930,United Farmers of Ontario,4,wind power,0
1923,United Farmers of Ontario,24,wind power,0
1918,Conservative (1867-1942),510,wind power,0
